frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.93,1,0.91,0,0.44,0,0,0.36,0.01,0.11,0.15,0,0,0.91,0,0.7,0.12,1.07,0.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0.04,0.93,1,0.97,0.13,0.59,0,0,0.58,0.09,0.17,0.2,0.07,0,1.01,0,0.69,0.14,1.11,0.08,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
3,0,0.08,0.88,1,1.09,0.26,0.8,0,0,0.55,0.18,0.21,0.25,0.09,0,0.99,0,0.55,0.27,1.09,0.02,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0.12,0.93,1,1.14,0.24,0.96,0.02,0,0.46,0.17,0.28,0.27,0.06,0,0.78,0,0.35,0.39,1.26,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0.16,0.93,1,1.16,0.35,1.14,0.02,0,0.27,0.12,0.43,0.35,0.15,0,0.57,0,0.15,0.88,1.58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0.2,0.98,1,0.9,0.22,1.02,0.02,0,0.28,0.03,0.6,0.44,0.21,0,0.38,0,0.06,1.55,2.03,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
7,0,0.24,0.98,1,0.57,0.18,0.82,0,0,0.35,0,0.7,0.46,0.41,0,0.21,0,0,2.18,1.96,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
8,0,0.28,0.98,1,0.31,0,0.56,0,0,0.58,0,0.75,0.46,0.45,0,0.2,0,0,2.35,1.89,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
9,0,0.32,0.98,1,0.15,0,0.39,0,0,0.48,0,0.75,0.36,0.48,0,0.2,0,0,2.33,1.61,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
10,0,0.36,0.98,1,0.09,0,0.2,0,0,0.26,0,0.66,0.3,0.59,0,0.23,0,0,2.28,1.55,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
11,0,0.4,0.98,1,0,0,0.06,0,0,0.08,0,0.75,0.33,0.58,0,0.15,0,0,2.34,1.33,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
