frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.98,1,1.35,0,1.29,0.95,0,0,0,0,0,0,0,1.32,0.89,0,0.32,1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.04,0.98,1,0.87,0,1,0.6,0,0,0.11,0.14,0,0,0,1.39,0.55,0,0.24,1.35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.08,0.93,1,0.59,0,0.64,0.73,0,0,0.11,0.14,0,0,0,1.63,0.41,0.17,0.14,1.85,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,0,0.12,0.98,1,0.51,0,0.45,0.96,0,0,0.11,0.05,0,0,0.01,1.71,0.47,0.36,0.03,2.07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.16,0.93,1,0.45,0,0.68,1.11,0,0,0,0.03,0.01,0,0.01,1.58,0.59,0.5,0.28,2.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.2,0.98,1,0.51,0,1.11,0.99,0,0,0,0.03,0.11,0,0.01,1.15,0.71,0.51,0.78,2.32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.24,0.93,1,0.72,0,1.33,0.95,0.05,0,0,0.2,0.37,0,0,0.8,0.52,0.55,1.4,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.28,0.93,1,0.66,0,1.21,0.88,0.08,0.03,0,0.38,0.65,0,0,0.82,0.46,0.67,1.78,2.65,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,0,0.32,0.98,1,0.54,0,1.1,0.57,0.29,0.29,0,0.65,1.01,0,0,0.82,0.34,0.85,1.98,2.73,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,0,0.36,0.98,1,0.38,0,1.07,0.32,0.29,0.29,0,0.77,1.24,0,0,0.92,0.36,0.95,2.07,2.4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
11,0,0.4,0.98,1,0.39,0,0.94,0.39,0.4,0.43,0,0.87,1.57,0,0,0.81,0.25,0.98,2.31,2.03,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
12,0,0.44,0.98,1,0.35,0,0.57,0.65,0.33,0.17,0,1.03,1.85,0,0,0.89,0.18,0.98,2.5,1.49,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
13,0,0.48,0.98,1,0.34,0,0.41,0.64,0.65,0.58,0,1.3,2.19,0.13,0.02,0.72,0.29,1.06,2.86,1.33,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
14,0,0.52,0.98,1,0.16,0,0.21,0.44,0.87,0.79,0,1.55,2.5,0.14,0.2,0.72,0.58,1.14,3,1.12,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
15,0,0.56,0.98,1,0.19,0,0.26,0.23,1.05,1.13,0,1.75,2.67,0.19,0.2,0.65,0.9,1.14,3.05,0.96,0.07,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0
16,0,0.6,0.98,1,0.1,0,0.11,0.16,1.07,1.29,0,1.84,2.68,0.07,0.18,0.7,1.25,1.03,2.92,1.03,0.09,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
17,0,0.64,0.98,1,0.1,0,0.05,0.07,1.15,1.46,0,1.88,2.62,0.05,0,0.56,1.42,1,2.77,1.04,0.15,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
18,0,0.68,0.98,1,0,0,0,0,1.25,1.8,0,2.07,2.63,0.14,0,0.47,1.66,0.94,2.64,0.99,0.27,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1
