frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.98,1,0,0,0.65,0,0,0,0,0.73,0.77,0.99,0,0.2,0.58,0,1.64,0.23,1.38,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1
2,0,0.04,0.98,1,0,0,0.63,0,0,0,0,0.5,0.81,1.18,0.03,0.12,0.51,0,1.38,0.29,1.38,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
3,0,0.08,0.98,1,0,0,0.64,0,0,0,0,0.36,0.81,1.23,0.05,0.1,0.39,0,1.31,0.32,1.36,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
4,0,0.12,0.98,1,0,0,0.69,0,0,0,0,0.4,0.81,1.33,0.09,0.13,0.3,0,1.33,0.33,1.4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
5,0,0.16,0.98,1,0,0,0.67,0,0,0,0,0.35,0.8,1.38,0.05,0.18,0.29,0,1.24,0.33,1.38,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
6,0,0.2,0.98,1,0,0,0.69,0,0,0,0,0.36,0.81,1.45,0.04,0.23,0.31,0,1.1,0.33,1.36,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
7,0,0.24,0.98,1,0,0,0.6,0,0,0,0,0.31,0.8,1.43,0,0.21,0.19,0,1.02,0.27,1.21,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
8,0,0.28,0.98,1,0,0,0.61,0,0,0,0,0.4,0.81,1.48,0,0.17,0.09,0,1.12,0.15,1.19,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
9,0,0.32,0.98,1,0,0,0.59,0,0.04,0,0,0.52,0.88,1.5,0,0.13,0,0,1.16,0.14,1.05,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
10,0,0.36,0.98,1,0,0,0.7,0,0.04,0,0,0.52,0.88,1.53,0.04,0.18,0.05,0,1.18,0.1,0.99,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
11,0,0.4,0.98,1,0,0,0.74,0,0.06,0,0,0.5,0.87,1.49,0.07,0.29,0.07,0,1.08,0.1,0.96,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
12,0,0.44,0.98,1,0,0,0.75,0,0.04,0,0,0.43,0.81,1.49,0.18,0.35,0.15,0,1.08,0.08,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1
