frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.98,1,0.03,0,0.55,0,0,0.54,0,0.19,0.9,0.68,0,0.26,0,0,1.66,0.55,1.17,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1
2,0,0.04,0.98,1,0.01,0,0.59,0,0,0.53,0,0.4,1,0.29,0,0.3,0,0,1.61,0.7,1.13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
3,0,0.08,0.93,1,0,0,0.62,0,0,0.55,0,0.55,1.11,0.08,0,0.31,0,0,1.61,0.8,1.12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
4,0,0.12,0.93,1,0,0,0.64,0,0,0.35,0,0.54,1.14,0.06,0,0.34,0,0,1.72,0.87,1.01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
5,0,0.16,0.93,1,0,0,0.62,0,0,0.27,0,0.45,1.16,0.03,0,0.31,0,0,1.73,0.93,0.95,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
6,0,0.2,0.93,1,0,0,0.62,0,0,0.09,0,0.39,1.14,0,0,0.37,0,0,1.76,1.06,0.85,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
7,0,0.24,0.93,1,0,0,0.65,0,0,0.19,0,0.39,1.16,0.04,0,0.4,0,0,1.78,1.1,0.95,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
8,0,0.28,0.93,1,0,0,0.65,0,0,0.35,0,0.44,1.14,0.04,0,0.5,0,0,1.89,1.14,0.99,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
9,0,0.32,0.93,1,0,0,0.66,0,0,0.6,0,0.56,1.18,0.08,0,0.53,0,0,1.9,1.15,0.95,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
10,0,0.36,0.93,1,0,0,0.6,0,0,0.56,0,0.62,1.17,0.06,0,0.51,0,0,1.87,1.26,0.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
11,0,0.4,0.93,1,0,0,0.63,0,0,0.54,0,0.54,1.2,0.06,0,0.5,0,0,1.83,1.35,0.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
12,0,0.44,0.93,1,0,0,0.55,0,0.03,0.54,0,0.41,1.16,0.01,0,0.38,0,0,1.88,1.33,0.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
13,0,0.48,0.93,1,0.03,0,0.52,0,0.05,0.53,0,0.25,1.07,0,0,0.32,0,0,1.95,1.24,0.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
14,0,0.52,0.93,1,0.03,0,0.47,0,0.05,0.6,0,0.29,1.03,0,0,0.15,0,0,2,1.19,1.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
15,0,0.56,0.93,1,0.03,0,0.47,0,0.03,0.46,0,0.28,1.01,0.08,0.01,0.07,0,0,2.02,1.14,1.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
16,0,0.6,0.93,1,0,0,0.46,0,0.01,0.51,0,0.4,1.08,0.15,0.01,0.03,0,0,2.12,1.15,1.18,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
17,0,0.64,0.93,1,0,0,0.53,0,0.01,0.56,0,0.41,1.1,0.19,0.01,0.09,0,0,2.27,1.11,1.04,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
18,0,0.68,0.93,1,0,0,0.55,0,0.01,0.62,0,0.44,1.11,0.22,0.01,0.15,0,0,2.35,1.21,1.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
19,0,0.72,0.98,1,0,0,0.57,0,0.02,0.72,0,0.41,1.15,0.2,0.05,0.31,0,0,2.38,1.33,0.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
20,0,0.76,0.93,1,0,0,0.55,0,0.04,0.45,0,0.41,1.18,0.15,0.05,0.34,0,0,2.36,1.43,0.93,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
