frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,0,0,0.93,1,0,0,0,0,0.29,1.38,0,0,0.47,0,0,0.28,0,0,0.76,1.48,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
2,0,0.04,0.93,1,0,0,0,0,0.58,1.22,0.23,0,0.75,0,0,0.23,0,0,0.76,0.99,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
3,0,0.08,0.98,1,0,0,0,0,0.86,0.76,0.44,0,1.06,0,0,0.14,0.11,0,0.82,0.56,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1
4,0,0.12,0.98,1,0,0.02,0,0,0.96,0.32,0.75,0,1.31,0,0.16,0.07,0.23,0,1,0.22,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1
5,0,0.16,0.98,1,0,0.05,0,0,0.88,0.02,0.68,0.11,1.59,0.01,0.18,0,0.33,0,1.23,0.07,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
6,0,0.2,0.98,1,0.01,0.05,0,0,0.69,0.02,0.56,0.33,1.82,0.14,0.21,0.04,0.42,0,1.44,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0
7,0,0.24,0.98,1,0.01,0.02,0,0,0.42,0,0.29,0.78,1.88,0.18,0.05,0.05,0.38,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
8,0,0.28,0.98,1,0.01,0,0,0,0.36,0,0.13,1.21,1.85,0.27,0.03,0.1,0.35,0,2.59,0.06,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
9,0,0.32,0.98,1,0,0,0,0,0.31,0,0.15,1.57,1.61,0.26,0,0.15,0.51,0,3.13,0.18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
10,0,0.36,0.98,1,0,0,0,0,0.37,0,0.11,1.69,1.48,0.31,0,0.15,0.44,0,3.19,0.48,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
11,0,0.4,0.98,1,0,0,0,0,0.35,0,0.11,1.72,1.29,0.33,0.04,0.23,0.6,0,3.06,0.84,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
12,0,0.44,0.98,1,0,0,0,0,0.31,0,0,1.72,1.22,0.45,0.04,0.27,0.47,0,2.86,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
13,0,0.48,0.98,1,0,0,0,0,0.24,0,0,1.69,1.13,0.53,0.06,0.38,0.6,0,2.71,1.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
