timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1,0.17031607,0,0.139972329,0,0,0,0,0,0,0,0.238493502,0,0,0.412477076,0,1.312705994,0.089522995,0,0.69597894,0.32739073,0.29801783,0.568268597,0.288467348,0,0.277839541,0,0.137159288,0.451013654,0,0,0,0.806287408,0.067917183,0,0,0,0,0,0,0,0.012010455,0,0.071981199,0,0,0,0.217451125,0.190549225,0.222877562,0,0.209348172,0,0,0,0.429721922,0,0,0,0,0.516747832,0,0.139965221,0.674944043,0,0,0,0,0,0.063697442,0.15403825,0.192569077,1.177923799,0,0,0,0,0,0.23246631,0,0.742900729,0,0.315050423,0,0.187941909,0.08981657,0,0,0.055903427,0,0,0,0.231470302,0,0.770301282,0,0.405957103,0.768552244,0,0,0,0,0.028547138,0.265706599,0,0,0,0,0,0.139052033,0.189260215,0,0,0.003272049,0,0,0,0,0.436273485,0,0.028747268,0.312101603,0.677008212,0,0.178017274,1.065613031,0,0,0
2,0.255522192,0,0.072571844,0,0,0,0,0,0,0,0,0,0,0.359544039,0.012015946,0.885526299,0,0.12645559,0.311393201,0.32268098,0.618395865,0.948238254,0.269508868,0,0.440549374,0,0.154240683,0.326504409,0,0,0,0.670477867,0,0.046188101,0.044774491,0,0,0,0,0.078189328,0.143668979,0,0,0,0.012940943,0,0.375331223,0,0.296325713,0.037127286,0.148300767,0,0,0,0.475615114,0,0,0,0,0.178989306,0,0.211533368,0,0,0,0,0.1678029,0.052533127,0,0.242257789,0.186418355,1.076066732,0,0,0,0,0,0.342255026,0,0.657689214,0,0.47921741,0,0.245774031,0,0,0,0.268070012,0,0.040504828,0,0.401719302,0,0.687278986,0,0.420640379,0.07007236,0,0,0.001242965,0,0.4734357,0.257978588,0,0,0,0.004099756,0,0.377841651,0,0.026675373,0,0.078669004,0,0,0,0,0.27212131,0,0.065360606,0.22979793,0.301785946,0,0.098384619,0.481685758,0,0,0
3,0.133114547,0,0.037500352,0,0,0,0,0,0,0,0,0,0,0.394903958,0,1.53811729,0,0.06779626,0.631928265,0.341704994,0.518601716,1.102010369,0.183442503,0,0.386847168,0,0.058936119,0.37078011,0,0.150909677,0,0.752131701,0,0.017319202,0.09443213,0,0,0,0,0.063953713,0,0,0,0,0,0,0.261128485,0,0.530581176,0,0.04452534,0,0,0,0.226487234,0,0,0,0,0.098902151,0,0.252924562,0,0,0,0,0.0967042,0.008352309,0,0.190444171,0.122329056,1.352097988,0,0,0,0,0,0.37202853,0,0.606584668,0,0.473823637,0,0.397753358,0,0,0,0.412466705,0,0,0,0.342228353,0,0.804456472,0.019614756,0.554112971,0,0,0,0,0,0.507523119,0.347938269,0,0,0,0,0,0.141807467,0.078834474,0.19078356,0,0.006364614,0,0,0,0,0.242104903,0,0,0.340956032,0.205667228,0,0.021403402,0.684175551,0,0,0
4,0,0,0,0,0.011821747,0,0,0,0,0,0,0,0,0.117587283,0.070053041,1.939623475,0,0,0.689199567,0.162527487,0.979892135,1.381787539,0.226974159,0,0.767523766,0,0.087136,0.364742786,0,0,0,0.9333812,0.107471973,0,0,0,0,0,0,0,0,0,0.006895592,0,0,0,0,0,0.406124383,0,0.066038758,0,0,0,0.018423945,0,0,0,0,0.15957883,0,0.292535484,0,0,0,0,0.551563203,0,0,0,0,1.50164938,0,0.054230727,0,0,0,0.524238527,0,1.303138256,0,0.300438881,0,0.427833259,0,0,0,0.645433187,0,0,0,0.367637575,0,0.415853292,0.043038785,0.955094874,0,0,0,0,0,0.353056729,0.120020509,0,0,0,0,0,0.246451527,0,0,0,0.010387376,0,0,0,0,0,0,0.019178925,0.57744056,0.018344272,0,0.101993501,1.090935826,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417261899,0,2.691320181,0,0,0.390415072,0,1.380439758,1.439599872,0,0,1.233375311,0,0.569687486,0.621807516,0,0,0,0.458252251,0.121235669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558213532,0,0,0,0,0,0,0,0,0,0,0,0,0.688147724,0,0,0,0,0.922219694,0,0,0.210501403,0,1.242653847,0,0,0,0,0,0.53868705,0,1.138165712,0,0,0,0.537778795,0,0,0,0.716060162,0,0.398172557,0,0.125875026,0,0.382479489,0,1.444011927,0,0,0,0,0,0.170022011,0.294621885,0,0,0,0,0,0.742995203,0,0.127787828,0,0,0,0,0,0,0,0,0.015950864,0.347066849,0,0,0,0.915588677,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457459718,0,1.845336199,0,0.105192602,0.222527832,0.097085819,0.529799163,1.190563202,0,0,1.01621294,0,0.569013655,0.585321069,0,0,0,0.501955628,0.105358332,0,0,0,0,0,0,0,0.186952904,0,0,0.041275114,0,0,0,0,0.172782749,0,0.245273411,0,0,0,0,0,0,0,0,0.714328229,0,0.828869879,0.662611902,0,0.03850637,0,0.172643453,0,0,0,0.263889611,1.567600965,0,0,0,0,0,0.358169913,0,1.274142146,0,0.050097138,0,0.362529039,0,0,0,0.316826344,0,0,0,0.511184931,0,0.454938889,0,0.786956906,0.169154599,0,0,0,0,0.002209008,0.466428578,0,0,0,0,0,0.416396737,0,0,0,0,0,0,0,0,0,0,0,0.097770862,0.286910981,0,0.230064094,0.80590868,0,0,0
7,0,0,0.185886055,0,0,0,0,0,0,0,0,0,0,0.626072526,0,1.179117203,0,0,0.551743686,0.035051107,0.77275753,1.055994987,0.113042779,0,1.010065556,0,0.379054606,0.647891283,0.071285412,0,0,0.397089571,0,0,0,0,0,0,0,0.042972535,0.15660131,0.102378428,0,0.108374462,0,0,0.126398802,0.067803144,0.293248206,0.046967983,0,0,0,0,0.094294518,0,0.03181237,0,0,0.602226555,0,0.220992729,0.182600349,0,0.030781198,0,0.539776921,0,0,0.130613416,0,0.582862318,0,0,0,0,0,0.513009906,0,0.607314706,0,0.211222917,0,0.117164388,0.000540555,0,0,0.30621779,0,0.05827114,0,0.17594105,0,0.33074978,0.026103139,1.131011248,0,0,0,0,0,0.036571234,0.350836545,0,0,0,0,0,0.599324048,0,0.335950613,0,0,0,0,0,0,0,0,0,0.521360755,0.276141167,0,0.117945135,0.754436851,0,0.081461355,0
8,0,0,0.035198301,0,0,0,0,0,0.188387468,0,0,0,0,0.561976731,0.145115808,1.501459599,0,0,0.335038304,0.108161032,1.005800962,1.029009819,0,0,1.05931139,0,0.244758993,0.672156274,0,0,0,0.432127386,0,0,0,0,0,0,0,0.007051855,0.145457834,0.312229037,0,0.114459716,0,0,0,0,0.409156203,0,0,0,0,0,0.134418309,0,0,0,0,0.260976702,0,0.219562307,0,0,0.040103532,0,0.594251752,0,0,0.170208186,0.047153555,0.883501291,0,0,0,0,0,0.338438004,0,0.899243355,0,0.443246901,0,0.23388505,0,0,0,0.041222323,0,0.11847131,0,0.218967289,0,0.365677774,0.047527164,1.106814146,0.030540142,0,0,0,0,0.316546351,0.39848429,0,0,0,0,0,0.72316283,0,0.241465807,0,0,0.066913389,0,0,0,0,0,0.035809085,0.129229948,0.052252948,0,0.097413942,0.886244714,0,0,0
9,0.07239446,0,0.084654704,0,0,0,0,0,0,0,0,0,0,0.276236981,0,1.241879463,0,0.173583031,0.476551771,0.269871265,0.394860208,1.039057016,0,0,0.664405584,0,0.21125713,0.299902469,0,0,0,0.34742859,0,0.053485215,0,0,0,0,0,0.039708525,0.098695189,0,0,0,0.039040953,0,0.197832286,0,0.427476823,0,0.036397129,0,0,0,0.128798932,0,0.119643807,0,0,0.172547445,0,0.435474962,0,0,0.008905798,0,0.097496301,0.165983155,0,0.241822347,0.231129453,1.127240539,0,0,0,0,0,0.32728681,0,0.637720108,0,0.276486754,0,0.257674962,0.070925161,0,0,0.490135968,0,0.108530745,0,0.586944044,0,0.791913986,0.13607353,0.667598844,0.103748932,0,0,0,0,0.156544358,0.433466136,0,0,0,0,0,0.448313504,0,0.0835144,0,0.104213223,0,0,0,0,0,0,0,0.085165486,0.129784152,0,0.113683999,0.531607389,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
